INDICATOR,GEO_PICT,TIME_PERIOD,OBS_VALUE,OBS_VALUE_WINS
SL_EMP_EARN,WS,2022,23.5,23.5
SL_TLF_UEM,PG,2000,2.05,2.05
SL_TLF_UEM,PG,2010,1.49,1.49
SL_TLF_UEM,PG,2017,2.5,2.5
SL_TLF_UEM,PG,2022,2.46,2.46
SL_TLF_NEET,VU,2006,24.24,24.24
SL_TLF_NEET,VU,2009,26.33,26.33
SL_TLF_NEET,VU,2010,31.85,31.85
SL_TLF_NEET,VU,2019,34.5,34.5
SL_TLF_NEET,VU,2020,47.53,47.53
SL_EMP_EARN,WS,2012,7.44,7.44
SL_EMP_EARN,WS,2017,9.09,9.09
SL_EMP_EARN,WS,2022,10.54,10.54
SL_TLF_UEM,VU,2006,3.87,3.87
SL_TLF_UEM,VU,2009,2.68,2.68
SL_TLF_UEM,VU,2010,1.47,1.47
SL_TLF_UEM,VU,2019,2.94,2.94
SL_TLF_UEM,VU,2020,2.68,2.68
SI_POV_DAY1,TV,2010,3.5,3.5
SL_TLF_UEM,TO,2018,2.78,2.78
SL_TLF_UEM,MH,2019,6.2,6.2
SL_TLF_NEET,VU,2019,51.2,51.2
FB_BNK_ACCSS,FJ,2017,71.1,71.1
SL_TLF_UEM,PW,2013,0,0
SL_TLF_MANF,MH,2019,3.2,3.2
SL_TLF_UEM,KI,2019,0,0
SL_TLF_UEM,SB,2012,1.9,1.9
SI_POV_NAHC,PW,2013,31.8,31.8
SL_EMP_EARN,MH,2019,3.18,3.18
SL_EMP_EARN,TO,2018,14.15,14.15
SL_EMP_EARN,TO,2021,12.75,12.75
SI_POV_NAHC,MH,2019,18.6,18.6
SL_TLF_UEM,FM,2013,5.2,5.2
SI_POV_NAHC,MH,2019,4.4,4.4
SI_POV_NAHC,MH,2019,10.2,10.2
SL_TLF_UEM,FJ,2004,4.1,4.1
SL_TLF_UEM,FJ,2005,3.33,3.33
SL_TLF_UEM,FJ,2011,4.29,4.29
SL_TLF_UEM,FJ,2014,4.93,4.93
SL_TLF_UEM,FJ,2016,3.7,3.7
SL_TLF_UEM,FJ,2017,7.8,7.8
SI_POV_DAY1,TO,2009,3.04,3.04
SI_POV_DAY1,TO,2015,0.58,0.58
SI_POV_DAY1,TO,2016,3.3,3.3
SI_POV_DAY1,TO,2021,0,0
SL_TLF_UEM,PG,2010,2.68,2.68
SL_TLF_UEM,PG,2011,3.7,3.7
SL_TLF_UEM,PG,2017,1.3,1.3
SL_TLF_UEM,PG,2022,3.14,3.14
SL_TLF_UEM,VU,2009,5.17,5.17
SL_TLF_UEM,VU,2019,7.09,7.09
SL_TLF_UEM,VU,2020,4.2,4.2
SL_EMP_EARN,VU,2010,415.61,348.74922
SL_TLF_NEET,NR,2013,36.4,36.4
SL_TLF_NEET,NR,2021,40.99,40.99
SL_TLF_UEM,KI,2015,5.79,5.79
SL_TLF_UEM,KI,2019,8.81,8.81
SI_POV_DAY1,SB,2012,32,32
SI_POV_DAY1,SB,2013,30.1,30.1
SPC_17_3_1,PG,2000,98.23303,98.23303
SPC_17_3_1,PG,2001,63.77039,63.77039
SPC_17_3_1,PG,2002,18.27881,18.27881
SPC_17_3_1,PG,2003,101.02569,101.02569
SPC_17_3_1,PG,2004,25.75608,25.75608
SPC_17_3_1,PG,2005,33.5273,33.5273
SPC_17_3_1,PG,2006,-6.87009,-5.1
SPC_17_3_1,PG,2007,95.77284,95.77284
SPC_17_3_1,PG,2008,-30.36936,-5.1
SPC_17_3_1,PG,2009,423.20898,348.74922
SPC_17_3_1,PG,2010,29.0517,29.0517
SPC_17_3_1,PG,2011,-309.57794,-5.1
SPC_17_3_1,PG,2012,25.0042,25.0042
SPC_17_3_1,PG,2013,18.22224,18.22224
SPC_17_3_1,PG,2014,-30.06431,-5.1
SPC_17_3_1,PG,2015,27.99441,27.99441
SPC_17_3_1,PG,2016,-39.76492,-5.1
SPC_17_3_1,PG,2017,-180.17671,-5.1
SPC_17_3_1,PG,2018,337.94779,337.94779
SPC_17_3_1,PG,2019,333.97491,333.97491
SPC_17_3_1,FJ,2000,2.95966,2.95966
SPC_17_3_1,FJ,2001,41.15714,41.15714
SPC_17_3_1,FJ,2002,30.45407,30.45407
SPC_17_3_1,FJ,2003,39.82551,39.82551
SPC_17_3_1,FJ,2004,250.02164,250.02164
SPC_17_3_1,FJ,2005,173.8647,173.8647
SPC_17_3_1,FJ,2006,581.7997,348.74922
SPC_17_3_1,FJ,2007,459.67161,348.74922
SPC_17_3_1,FJ,2008,682.05633,348.74922
SPC_17_3_1,FJ,2009,311.49813,311.49813
SPC_17_3_1,FJ,2010,176.35314,176.35314
SPC_17_3_1,FJ,2011,216.76454,216.76454
SPC_17_3_1,FJ,2012,277.72656,277.72656
SPC_17_3_1,FJ,2013,243.07724,243.07724
SPC_17_3_1,FJ,2014,379.57983,348.74922
SPC_17_3_1,FJ,2015,205.28027,205.28027
SPC_17_3_1,FJ,2016,389.84103,348.74922
SPC_17_3_1,FJ,2017,386.18594,348.74922
SPC_17_3_1,FJ,2018,470.97318,348.74922
SPC_17_3_1,FJ,2019,321.28458,321.28458
SL_TLF_UEM,MH,2019,5.37,5.37
SL_TLF_UEM,MH,2021,6.13,6.13
SL_TLF_NEET,MH,2019,46.48,46.48
SL_TLF_NEET,MH,2021,42.02,42.02
SL_TLF_UEM,TO,2021,1.46,1.46
SL_TLF_UEM,KI,2019,7.3,7.3
SL_TLF_UEM,WS,2013,5.4,5.4
SL_TLF_UEM,VU,2019,2.1,2.1
SI_POV_NAHC,MH,2019,24.1,24.1
SL_EMP_EARN,CK,2019,10.05,10.05
SL_TLF_UEM,PW,2013,0.4,0.4
SI_POV_DAY1,FJ,2016,4.02,4.02
SPC_1_2_2,PG,2010,4.5,4.5
SI_POV_NAHC,KI,2019,24.7,24.7
SI_POV_DAY1,FJ,2016,3.86,3.86
SL_TLF_NEET,MH,2019,41.2,41.2
SL_TLF_UEM,WS,2013,2.2,2.2
SI_POV_NAHC,NU,2002,13,13
SL_TLF_UEM,WS,2013,3.3,3.3
BX_TRF_PWKR,WS,1982,15.67,15.67
BX_TRF_PWKR,WS,1983,17.88,17.88
BX_TRF_PWKR,WS,1984,18.31,18.31
BX_TRF_PWKR,WS,1985,25.11,25.11
BX_TRF_PWKR,WS,1986,28.73,28.73
BX_TRF_PWKR,WS,1987,33.12,33.12
BX_TRF_PWKR,WS,1988,28.57,28.57
BX_TRF_PWKR,WS,1989,33.36,33.36
BX_TRF_PWKR,WS,1990,34.19,34.19
BX_TRF_PWKR,WS,1991,27.87,27.87
BX_TRF_PWKR,WS,1992,30.23,30.23
BX_TRF_PWKR,WS,1993,24.04,24.04
BX_TRF_PWKR,WS,1994,16.73,16.73
BX_TRF_PWKR,WS,1995,18.02,18.02
BX_TRF_PWKR,WS,1996,17.72,17.72
BX_TRF_PWKR,WS,1997,16.32,16.32
BX_TRF_PWKR,WS,1998,15.59,15.59
BX_TRF_PWKR,WS,1999,17.26,17.26
BX_TRF_PWKR,WS,2000,17.38,17.38
BX_TRF_PWKR,WS,2001,16.9,16.9
BX_TRF_PWKR,WS,2002,15.97,15.97
BX_TRF_PWKR,WS,2003,13.5,13.5
BX_TRF_PWKR,WS,2004,0.22,0.22
BX_TRF_PWKR,WS,2005,17.11,17.11
BX_TRF_PWKR,WS,2006,17.42,17.42
BX_TRF_PWKR,WS,2007,16.85,16.85
BX_TRF_PWKR,WS,2008,17,17
BX_TRF_PWKR,WS,2009,19.03,19.03
BX_TRF_PWKR,WS,2010,20.36,20.36
BX_TRF_PWKR,WS,2011,21.45,21.45
BX_TRF_PWKR,WS,2012,22.98,22.98
BX_TRF_PWKR,WS,2013,20.63,20.63
BX_TRF_PWKR,WS,2014,17.64,17.64
BX_TRF_PWKR,WS,2015,15.91,15.91
BX_TRF_PWKR,WS,2016,15.5,15.5
BX_TRF_PWKR,WS,2017,15.34,15.34
BX_TRF_PWKR,WS,2018,16.8,16.8
BX_TRF_PWKR,WS,2019,17,17
BX_TRF_PWKR,WS,2020,23.5,23.5
BX_TRF_PWKR,WS,2021,29.43,29.43
BX_TRF_PWKR,WS,2022,33.61,33.61
BX_TRF_PWKR,WS,2023,28.24,28.24
SI_POV_DAY1,FM,2005,8.6,8.6
SI_POV_DAY1,FM,2013,16,16
SL_EMP_EARN,VU,2010,378.13,348.74922
SL_EMP_EARN,VU,2010,558.02,348.74922
SI_POV_DAY1,TV,2010,3.9,3.9
SL_TLF_UEM,VU,2019,4.4,4.4
SPC_16_6_1,PW,2010,96.6,96.6
SPC_16_6_1,PW,2011,103.1,103.1
SPC_16_6_1,PW,2012,98.1,98.1
SPC_16_6_1,PW,2013,96,96
SPC_16_6_1,PW,2014,96.1,96.1
SPC_16_6_1,PW,2015,95.8,95.8
SPC_16_6_1,PW,2016,90.3,90.3
SPC_16_6_1,PW,2017,94.2,94.2
SPC_16_6_1,PW,2018,95.4,95.4
SPC_16_6_1,PW,2019,92.3,92.3
SPC_16_6_1,PW,2020,90.2,90.2
SPC_16_6_1,PW,2021,87.4,87.4
SPC_16_6_1,PW,2022,92.7,92.7
SL_TLF_UEM,VU,2019,25.3,25.3
SL_EMP_EARN,TO,2018,4.5,4.5
SL_EMP_EARN,TO,2021,0,0
SL_TLF_UEM,TV,2015,49.7,49.7
SL_TLF_UEM,TV,2016,45.85,45.85
SL_TLF_UEM,TV,2017,57.63,57.63
SL_TLF_UEM,TV,2022,21.68,21.68
SI_POV_NAHC,SB,2012,12.5,12.5
SL_TLF_UEM,WS,2013,1,1
SI_POV_NAHC,PW,2013,15.2,15.2
SL_TLF_UEM,KI,2019,6,6
SL_EMP_EARN,CK,2019,8.39,8.39
SI_POV_DAY1,SB,2016,6.4,6.4
BX_TRF_PWKR,TO,1975,20.59,20.59
BX_TRF_PWKR,TO,1976,17.89,17.89
BX_TRF_PWKR,TO,1977,16.23,16.23
BX_TRF_PWKR,TO,1978,14.57,14.57
BX_TRF_PWKR,TO,1979,14.72,14.72
BX_TRF_PWKR,TO,1980,13.31,13.31
BX_TRF_PWKR,TO,1981,12.22,12.22
BX_TRF_PWKR,TO,1982,13.08,13.08
BX_TRF_PWKR,TO,1983,27.07,27.07
BX_TRF_PWKR,TO,1984,20.96,20.96
BX_TRF_PWKR,TO,1985,36.42,36.42
BX_TRF_PWKR,TO,1986,30.6,30.6
BX_TRF_PWKR,TO,1987,27.41,27.41
BX_TRF_PWKR,TO,1988,15.58,15.58
BX_TRF_PWKR,TO,1989,13.98,13.98
BX_TRF_PWKR,TO,1990,21.1,21.1
BX_TRF_PWKR,TO,1991,14.19,14.19
BX_TRF_PWKR,TO,1992,15.57,15.57
BX_TRF_PWKR,TO,1993,15.14,15.14
BX_TRF_PWKR,TO,2001,29.16,29.16
BX_TRF_PWKR,TO,2002,34.03,34.03
BX_TRF_PWKR,TO,2003,28.97,28.97
BX_TRF_PWKR,TO,2004,28.37,28.37
BX_TRF_PWKR,TO,2005,26.34,26.34
BX_TRF_PWKR,TO,2006,26.69,26.69
BX_TRF_PWKR,TO,2007,27.4,27.4
BX_TRF_PWKR,TO,2008,30.04,30.04
BX_TRF_PWKR,TO,2009,26.22,26.22
BX_TRF_PWKR,TO,2010,20.18,20.18
BX_TRF_PWKR,TO,2011,20.36,20.36
BX_TRF_PWKR,TO,2012,19.37,19.37
BX_TRF_PWKR,TO,2013,27.15,27.15
BX_TRF_PWKR,TO,2014,27.05,27.05
BX_TRF_PWKR,TO,2015,29.55,29.55
BX_TRF_PWKR,TO,2016,30,30
BX_TRF_PWKR,TO,2017,34.48,34.48
BX_TRF_PWKR,TO,2018,35.42,35.42
BX_TRF_PWKR,TO,2019,36.76,36.76
BX_TRF_PWKR,TO,2020,38.23,38.23
BX_TRF_PWKR,TO,2021,41.98,41.98
BX_TRF_PWKR,TO,2022,41.94,41.94
SL_TLF_UEM,TV,2002,4.95,4.95
SL_TLF_UEM,TV,2015,17.6,17.6
SL_TLF_UEM,TV,2016,4.64,4.64
SL_TLF_UEM,TV,2017,25.49,25.49
SL_TLF_UEM,TV,2022,6.69,6.69
NY_GDP_PCAP,SB,2000,-13.4,-5.1
NY_GDP_PCAP,SB,2001,-6.8,-5.1
NY_GDP_PCAP,SB,2002,-1.5,-1.5
NY_GDP_PCAP,SB,2003,7.3,7.3
NY_GDP_PCAP,SB,2004,5.8,5.8
NY_GDP_PCAP,SB,2005,5.5,5.5
NY_GDP_PCAP,SB,2006,2.3,2.3
NY_GDP_PCAP,SB,2007,1.9,1.9
NY_GDP_PCAP,SB,2008,4.4,4.4
NY_GDP_PCAP,SB,2009,1,1
NY_GDP_PCAP,SB,2010,6.7,6.7
NY_GDP_PCAP,SB,2011,3.5,3.5
NY_GDP_PCAP,SB,2012,-1.3,-1.3
NY_GDP_PCAP,SB,2013,1.6,1.6
NY_GDP_PCAP,SB,2014,-2.4,-2.4
NY_GDP_PCAP,SB,2015,-1.9,-1.9
NY_GDP_PCAP,SB,2016,1.9,1.9
NY_GDP_PCAP,SB,2017,-0.4,-0.4
NY_GDP_PCAP,SB,2018,-0.6,-0.6
NY_GDP_PCAP,SB,2019,-0.9,-0.9
NY_GDP_PCAP,SB,2020,-5.5,-5.1
NY_GDP_PCAP,SB,2021,0.1,0.1
NY_GDP_PCAP,SB,2022,0,0
NY_GDP_PCAP,SB,2023,0.6,0.6
SL_TLF_UEM,NR,2002,20.65,20.65
SL_TLF_UEM,NR,2013,13.11,13.11
SL_TLF_UEM,NR,2021,3.35,3.35
SL_TLF_UEM,NU,2001,9.03,9.03
SL_TLF_UEM,NU,2011,8.1,8.1
SI_POV_NAHC,SB,2012,12.1,12.1
SL_TLF_MANF,CK,2016,3.1,3.1
SI_POV_NAHC,SB,2012,10.4,10.4
SL_TLF_NEET,TO,2021,23.8,23.8
SI_POV_NAHC,SB,2012,9.3,9.3
SL_TLF_UEM,TV,2015,22.4,22.4
SL_EMP_EARN,TO,2018,17.67,17.67
SL_EMP_EARN,TO,2021,15.09,15.09
SL_TLF_UEM,MH,2019,7.31,7.31
SL_TLF_UEM,MH,2021,8.88,8.88
SL_TLF_UEM,MH,2019,1.1,1.1
SI_POV_NAHC,VU,2019,21.1,21.1
SL_TLF_UEM,KI,2019,4,4
SL_TLF_UEM,PW,2013,0.3,0.3
SL_TLF_NEET,TO,2018,30.39,30.39
SL_TLF_NEET,TO,2021,23.28,23.28
SI_POV_DAY1,MH,2019,0,0
SI_POV_NAHC,VU,2019,18.7,18.7
SL_TLF_UEM,TO,2021,1.6,1.6
SI_POV_NAHC,SB,2012,13.5,13.5
SL_TLF_UEM,MH,2019,5.5,5.5
SL_TLF_UEM,FM,2013,0,0
SL_TLF_NEET,PW,2013,11.7,11.7
SL_TLF_UEM,WS,2001,12.24,12.24
SL_TLF_UEM,WS,2011,16.14,16.14
SL_TLF_UEM,WS,2012,19.1,19.1
SL_TLF_UEM,WS,2013,4.3,4.3
SL_TLF_UEM,WS,2014,19.1,19.1
SL_TLF_UEM,WS,2017,19.65,19.65
SL_TLF_UEM,WS,2022,13.39,13.39
SL_TLF_UEM,NC,2009,12.05,12.05
SL_TLF_UEM,NC,2014,13.74,13.74
SL_TLF_UEM,NC,2017,10.16,10.16
SL_TLF_UEM,NC,2018,11.61,11.61
SL_TLF_UEM,NC,2019,10.28,10.28
SL_TLF_UEM,NC,2020,14.12,14.12
SL_TLF_UEM,NC,2022,10.49,10.49
SL_TLF_UEM,KI,2015,11.88,11.88
SL_TLF_UEM,KI,2019,8.42,8.42
SL_TLF_UEM,KI,2020,10.05,10.05
SL_TLF_UEM,FJ,2005,16,16
SL_TLF_UEM,FJ,2011,18.4,18.4
SL_TLF_UEM,FJ,2014,25.73,25.73
SL_TLF_UEM,FJ,2016,22.35,22.35
SL_TLF_UEM,SB,2009,1.76,1.76
SL_TLF_UEM,SB,2012,8.1,8.1
SL_TLF_UEM,SB,2013,0.72,0.72
SL_TLF_UEM,SB,2017,27.3,27.3
SL_TLF_UEM,FJ,2005,3.33,3.33
SL_TLF_UEM,FJ,2011,4.29,4.29
SL_TLF_UEM,FJ,2016,3.7,3.7
SL_TLF_NEET,FM,2014,28.67,28.67
SL_TLF_UEM,NU,2001,10.26,10.26
SL_EMP_EARN,WS,2012,6.25,6.25
SL_EMP_EARN,WS,2017,5.39,5.39
SL_EMP_EARN,WS,2022,6.87,6.87
SI_POV_DAY1,TO,2009,1.65,1.65
SI_POV_DAY1,TO,2015,2.18,2.18
SI_POV_DAY1,TO,2021,0,0
SPC_17_3_1,TV,2000,0,0
SPC_17_3_1,TV,2001,-0.009,-0.009
SPC_17_3_1,TV,2002,-0.01,-0.01
SPC_17_3_1,TV,2003,-0.011,-0.011
SPC_17_3_1,TV,2004,-0.012,-0.012
SPC_17_3_1,TV,2005,-0.011,-0.011
SPC_17_3_1,TV,2006,-0.011,-0.011
SPC_17_3_1,TV,2007,-0.011,-0.011
SPC_17_3_1,TV,2008,1.688,1.688
SPC_17_3_1,TV,2009,1.751,1.751
SPC_17_3_1,TV,2010,0.455,0.455
SPC_17_3_1,TV,2011,-0.119,-0.119
SPC_17_3_1,TV,2012,1.325,1.325
SPC_17_3_1,TV,2013,0.337,0.337
SPC_17_3_1,TV,2014,0.3,0.3
SPC_17_3_1,TV,2015,0.3,0.3
SPC_17_3_1,TV,2016,0.3,0.3
SPC_17_3_1,TV,2017,0.3,0.3
SPC_17_3_1,TV,2018,0.29886,0.29886
SPC_17_3_1,TV,2019,0.29886,0.29886
SPC_16_6_1,SB,2009,91.2,91.2
SPC_16_6_1,SB,2010,103.7,103.7
SPC_16_6_1,SB,2011,105.5,105.5
SPC_16_6_1,SB,2012,95.5,95.5
SPC_16_6_1,SB,2013,87.6,87.6
SPC_16_6_1,SB,2014,90.8,90.8
SPC_16_6_1,SB,2015,89.5,89.5
SPC_16_6_1,SB,2017,101.1,101.1
SPC_16_6_1,SB,2018,100.6,100.6
SPC_16_6_1,SB,2019,96.7,96.7
SL_TLF_UEM,TO,2017,1.8,1.8
SL_TLF_UEM,TO,2018,1.27,1.27
SL_TLF_UEM,TO,2021,1.27,1.27
SL_TLF_NEET,PW,2000,26.9,26.9
SL_TLF_NEET,PW,2013,11.9,11.9
SL_TLF_NEET,PW,2014,11.1,11.1
SL_TLF_NEET,PW,2015,4.6,4.6
SL_EMP_EARN,CK,2019,13.32,13.32
SPC_16_6_1,NC,2009,109.6,109.6
SPC_16_6_1,NC,2010,107.3,107.3
SPC_16_6_1,NC,2011,104.1,104.1
SPC_16_6_1,NC,2016,101.6,101.6
SPC_16_6_1,NC,2017,97.3,97.3
SPC_16_6_1,NC,2018,100.5,100.5
SL_TLF_UEM,WS,2013,0.8,0.8
SL_TLF_NEET,PW,2000,27.6,27.6
SL_TLF_NEET,PW,2013,15.2,15.2
SL_TLF_NEET,PW,2014,14.4,14.4
SL_TLF_NEET,PW,2015,3.8,3.8
SI_POV_NAHC,SB,2012,13.2,13.2
SL_EMP_EARN,MH,2019,5.81,5.81
SI_POV_DAY1,KI,2006,12.7,12.7
SI_POV_DAY1,KI,2019,2,2
SL_TLF_UEM,MH,2019,0,0
SL_TLF_UEM,FM,2013,0,0
SI_POV_NAHC,VU,2019,16.8,16.8
SI_POV_NAHC,KI,2019,21.3,21.3
SL_TLF_UEM,MH,2019,27,27
SI_POV_NAHC,SB,2012,8.8,8.8
SI_POV_DAY1,FJ,2016,4.41,4.41
NY_GDP_PCAP,NC,2000,0.4,0.4
NY_GDP_PCAP,NC,2001,-0.1,-0.1
NY_GDP_PCAP,NC,2002,0.5,0.5
NY_GDP_PCAP,NC,2003,2.8,2.8
NY_GDP_PCAP,NC,2004,2.1,2.1
NY_GDP_PCAP,NC,2005,2.1,2.1
NY_GDP_PCAP,NC,2006,4.3,4.3
NY_GDP_PCAP,NC,2007,2.9,2.9
NY_GDP_PCAP,NC,2008,-0.6,-0.6
NY_GDP_PCAP,NC,2009,1,1
NY_GDP_PCAP,NC,2010,5.2,5.2
NY_GDP_PCAP,NC,2011,2.5,2.5
NY_GDP_PCAP,NC,2012,-0.1,-0.1
NY_GDP_PCAP,NC,2013,0,0
NY_GDP_PCAP,NC,2014,0.2,0.2
NY_GDP_PCAP,NC,2015,0.1,0.1
NY_GDP_PCAP,NC,2016,-0.3,-0.3
NY_GDP_PCAP,NC,2017,1.6,1.6
NY_GDP_PCAP,NC,2018,0.4,0.4
NY_GDP_PCAP,NC,2019,-1.4,-1.4
NY_GDP_PCAP,NC,2020,-2.6,-2.6
NY_GDP_PCAP,NC,2021,-2.5,-2.5
NY_GDP_PCAP,NC,2022,2.9,2.9
NY_GDP_PCAP,NC,2023,-1.4,-1.4
GR_G14_GDP,KI,2010,60.19,60.19
GR_G14_GDP,KI,2011,59.67,59.67
GR_G14_GDP,KI,2012,71.59,71.59
GR_G14_GDP,KI,2013,84.64,84.64
GR_G14_GDP,KI,2014,100.58,100.58
GR_G14_GDP,KI,2015,114.17,114.17
GR_G14_GDP,KI,2016,86.3,86.3
GR_G14_GDP,KI,2017,86.86,86.86
GR_G14_GDP,KI,2018,110.39,110.39
GR_G14_GDP,KI,2019,110.39,110.39
GR_G14_GDP,KI,2020,105.31,105.31
GR_G14_GDP,KI,2021,83.85,83.85
GR_G14_GDP,KI,2022,79.66,79.66
GR_G14_GDP,KI,2023,94.08,94.08
SL_TLF_UEM,NR,2002,38.03,38.03
SL_TLF_UEM,NR,2012,33.3,33.3
SL_TLF_UEM,NR,2013,26.57,26.57
SL_TLF_UEM,NR,2021,12.03,12.03
SL_TLF_UEM,PG,2010,2,2
SL_TLF_UEM,PG,2022,2.69,2.69
SI_POV_DAY1,WS,2008,1,1
SI_POV_DAY1,WS,2013,1.12,1.12
SL_EMP_EARN,WS,2012,4.6,4.6
SL_EMP_EARN,WS,2017,4.59,4.59
SL_EMP_EARN,WS,2022,5.89,5.89
SL_EMP_EARN,WS,2012,7.7,7.7
SL_EMP_EARN,WS,2017,7.26,7.26
SL_EMP_EARN,WS,2022,11.7,11.7
SL_TLF_UEM,CK,2011,15.34,15.34
SL_TLF_UEM,CK,2016,2.76,2.76
SL_TLF_UEM,CK,2019,1.65,1.65
SL_EMP_EARN,TO,2018,13.37,13.37
SL_EMP_EARN,TO,2021,7.76,7.76
SI_POV_NAHC,SB,2012,11.1,11.1
SL_TLF_UEM,TO,2021,1.6,1.6
SI_POV_NAHC,NR,2013,24,24
SL_EMP_EARN,CK,2019,10.24,10.24
SL_TLF_UEM,TO,2021,1.2,1.2
SL_TLF_UEM,TV,2015,47.1,47.1
SI_POV_DAY1,FJ,2016,4.15,4.15
SI_POV_NAHC,KI,2019,19.1,19.1
SL_TLF_UEM,FM,2013,5.9,5.9
SL_TLF_UEM,TV,2015,0,0
SL_TLF_MANF,TO,2016,17.1,17.1
SL_EMP_EARN,TO,2018,8.18,8.18
SL_EMP_EARN,TO,2021,5.94,5.94
SL_TLF_UEM,KI,2019,0,0
SL_TLF_UEM,VU,2019,2.8,2.8
SL_TLF_UEM,TO,2021,2.2,2.2
PSD2GDP,FM,2014,28.2,28.2
PSD2GDP,FM,2015,25.7,25.7
PSD2GDP,FM,2016,24.3,24.3
PSD2GDP,FM,2017,22.2,22.2
PSD2GDP,FM,2018,20.3,20.3
SL_TLF_UEM,VU,2006,8.46,8.46
SL_TLF_UEM,VU,2009,3.71,3.71
SL_TLF_UEM,VU,2010,0.69,0.69
SL_TLF_UEM,VU,2019,5.03,5.03
SL_TLF_UEM,VU,2020,2.94,2.94
SL_TLF_NEET,SB,1999,53.47,53.47
SL_TLF_NEET,SB,2013,7.04,7.04
SL_TLF_UEM,PW,2000,3.34,3.34
SL_TLF_UEM,PW,2014,1.3,1.3
SL_TLF_UEM,WS,2001,4.55,4.55
SL_TLF_UEM,WS,2012,8.07,8.07
SL_TLF_UEM,WS,2014,8.02,8.02
SL_TLF_UEM,WS,2017,10.94,10.94
SL_TLF_UEM,FM,2014,9.03,9.03
SL_TLF_UEM,KI,2015,12.1,12.1
SL_TLF_UEM,KI,2019,8.65,8.65
SL_TLF_UEM,CK,2011,8.32,8.32
SL_TLF_UEM,WS,2012,8.76,8.76
SL_TLF_UEM,WS,2017,9.44,9.44
SL_TLF_UEM,WS,2022,5.09,5.09
SL_EMP_EARN,TO,2018,18.91,18.91
SL_EMP_EARN,TO,2021,13.89,13.89
SI_POV_NAHC,SB,2012,8.8,8.8
SL_TLF_NEET,TO,2016,33.6,33.6
SL_TLF_NEET,TO,2018,30.29,30.29
SL_TLF_NEET,TO,2021,21.9,21.9
SI_POV_NAHC,MH,2019,6.1,6.1
SI_POV_NAHC,VU,2019,19.4,19.4
SL_TLF_UEM,PW,2013,0,0
SL_TLF_UEM,TO,2018,0.7,0.7
SPC_17_3_1,CK,2015,5.41127,5.41127
SPC_17_3_1,CK,2016,10.4632,10.4632
SPC_17_3_1,CK,2017,1.91864,1.91864
SPC_17_3_1,CK,2018,11.55871,11.55871
SPC_17_3_1,CK,2019,7.98018,7.98018
SL_TLF_UEM,WS,2016,0.5,0.5
SL_TLF_NEET,CK,2016,31.6,31.6
SL_TLF_UEM,TV,2016,3.27,3.27
SL_TLF_UEM,TV,2017,17.64,17.64
SL_TLF_UEM,TV,2022,4.14,4.14
SI_POV_NAHC,KI,2019,21.9,21.9
SI_POV_NAHC,FJ,2019,29.9,29.9
SL_TLF_UEM,FM,2013,6,6
SI_POV_NAHC,SB,2012,7.5,7.5
SL_TLF_UEM,NR,2002,29.65,29.65
SL_TLF_UEM,NR,2011,25.51,25.51
SL_TLF_UEM,NR,2012,21.5,21.5
SL_TLF_UEM,NR,2013,17.95,17.95
SL_TLF_UEM,NR,2021,5.23,5.23
SL_EMP_EARN,VU,2010,522.08,348.74922
SL_EMP_EARN,WS,2012,7.94,7.94
SL_EMP_EARN,WS,2017,8.72,8.72
SL_EMP_EARN,WS,2022,9.36,9.36
SL_TLF_UEM,PG,2010,2.95,2.95
SL_TLF_UEM,PG,2022,2.98,2.98
SL_TLF_UEM,VU,2009,4.11,4.11
SL_TLF_UEM,VU,2019,4.27,4.27
SL_TLF_UEM,VU,2020,3.98,3.98
SL_TLF_UEM,SB,2012,1.5,1.5
SI_POV_DAY1,PG,2016,19,19
SL_TLF_UEM,FM,2013,21.5,21.5
SL_TLF_UEM,MH,2019,5.8,5.8
EG_ACS_ELEC,PF,2017,100,100
EG_ACS_ELEC,PF,2018,100,100
EG_ACS_ELEC,PF,2019,100,100
EG_ACS_ELEC,PF,2020,100,100
SL_EMP_EARN,CK,2019,9.19,9.19
SL_EMP_EARN,TO,2018,20.56,20.56
SL_EMP_EARN,TO,2021,16.66,16.66
SL_TLF_NEET,SB,2012,39.2,39.2
SL_TLF_NEET,SB,2013,8.7,8.7
SL_TLF_UEM,SB,2012,4.8,4.8
SL_TLF_UEM,VU,2019,6.3,6.3
SL_TLF_UEM,PW,2015,1.3,1.3
SL_TLF_UEM,TV,2016,9.5,9.5
SL_TLF_UEM,TV,2017,26.55,26.55
SL_TLF_UEM,TV,2022,7.32,7.32
SI_POV_NAHC,FM,2013,41.2,41.2
SL_TLF_UEM,FM,2013,3.9,3.9
SL_TLF_UEM,KI,2019,15.2,15.2
SL_TLF_UEM,MH,2019,4.2,4.2
SL_TLF_UEM,NU,2011,1.2,1.2
SL_TLF_UEM,TV,2015,14.9,14.9
SI_POV_DAY1,PG,2016,13.5,13.5
FB_BNK_ACCSS,VU,2016,37.4,37.4
SL_TLF_UEM,TO,2018,3.77,3.77
PSD2GDP,VU,2014,12.8,12.8
PSD2GDP,VU,2015,23,23
PSD2GDP,VU,2016,45.2,45.2
PSD2GDP,VU,2017,52.1,52.1
PSD2GDP,VU,2018,51.4,51.4
NY_GDP_PCAP,PW,2000,-8.1,-5.1
