INDICATOR,GEO_PICT,TIME_PERIOD,OBS_VALUE,OBS_VALUE_WINS
NY_GDP_PCAP,CK,2001,8.3,8.3
NY_GDP_PCAP,CK,2002,5.1,5.1
NY_GDP_PCAP,CK,2003,3.9,3.9
NY_GDP_PCAP,CK,2004,1.9,1.9
NY_GDP_PCAP,CK,2005,-1.5,-1.5
NY_GDP_PCAP,CK,2006,4.5,4.5
NY_GDP_PCAP,CK,2007,-0.1,-0.1
NY_GDP_PCAP,CK,2008,-4.2,-4.2
NY_GDP_PCAP,CK,2009,-3.2,-3.2
NY_GDP_PCAP,CK,2010,-7.7,-5.1
NY_GDP_PCAP,CK,2011,-1.9,-1.9
NY_GDP_PCAP,CK,2012,-0.5,-0.5
NY_GDP_PCAP,CK,2013,0.7,0.7
NY_GDP_PCAP,CK,2014,5.8,5.8
NY_GDP_PCAP,CK,2015,6.3,6.3
NY_GDP_PCAP,CK,2016,5.6,5.6
NY_GDP_PCAP,CK,2017,11.4,11.4
NY_GDP_PCAP,CK,2018,8.5,8.5
NY_GDP_PCAP,CK,2019,7.8,7.8
NY_GDP_PCAP,CK,2020,-23,-5.1
NY_GDP_PCAP,CK,2021,-14.3,-5.1
NY_GDP_PCAP,CK,2022,32.4,32.4
NY_GDP_PCAP,CK,2023,23.3,23.3
SL_TLF_UEM,FJ,2005,3.39,3.39
SL_TLF_UEM,FJ,2011,4.53,4.53
SL_TLF_UEM,FJ,2016,3.88,3.88
SL_TLF_UEM,FM,2014,14.25,14.25
SL_TLF_UEM,VU,2006,10.37,10.37
SL_TLF_UEM,VU,2009,5.15,5.15
SL_TLF_UEM,VU,2010,1.57,1.57
SL_TLF_UEM,VU,2017,3.5,3.5
SL_TLF_UEM,VU,2019,6.83,6.83
SL_TLF_UEM,VU,2020,4.12,4.12
SL_TLF_UEM,KI,2015,9.38,9.38
SL_TLF_UEM,KI,2019,8.49,8.49
SL_TLF_UEM,KI,2020,11.13,11.13
SL_EMP_EARN,VU,2010,422.66,348.74922
SPC_16_6_1,CK,2008,103.2,103.2
SPC_16_6_1,CK,2009,124.8,124.8
SPC_16_6_1,CK,2010,113.9,113.9
SPC_16_6_1,CK,2012,107.3,107.3
SPC_16_6_1,CK,2013,93.4,93.4
SPC_16_6_1,CK,2014,97.3,97.3
SPC_16_6_1,CK,2018,89.7,89.7
SPC_16_6_1,CK,2019,96.3,96.3
SPC_16_6_1,CK,2020,109,109
SL_TLF_MANF,VU,2009,1.88,1.88
SL_TLF_MANF,VU,2019,4.5,4.5
SPC_16_6_1,PF,2008,102.1,102.1
SPC_16_6_1,PF,2009,106.7,106.7
SPC_16_6_1,PF,2011,89.6,89.6
SPC_16_6_1,PF,2012,106.7,106.7
SPC_16_6_1,PF,2013,101.9,101.9
SPC_16_6_1,PF,2014,104,104
SPC_16_6_1,PF,2015,96.1,96.1
SPC_16_6_1,PF,2016,98.2,98.2
SPC_16_6_1,PF,2017,90.5,90.5
SPC_16_6_1,PF,2018,100.3,100.3
SPC_16_6_1,PF,2019,99.5,99.5
SPC_16_6_1,PF,2020,111.6,111.6
SI_POV_NAHC,VU,2019,12.5,12.5
SL_TLF_UEM,KI,2019,9.3,9.3
SI_POV_NAHC,PW,2013,12.4,12.4
SI_POV_NAHC,SB,2012,14.1,14.1
SL_TLF_UEM,VU,2019,3.5,3.5
SI_POV_NAHC,VU,2019,18.6,18.6
SI_POV_NAHC,VU,2019,20.8,20.8
SI_POV_DAY1,FJ,2016,5.13,5.13
SL_TLF_NEET,WS,2013,32.1,32.1
SL_TLF_UEM,TO,2018,3.39,3.39
SL_TLF_UEM,TO,2021,4.08,4.08
SL_TLF_NEET,TV,2015,57.1,57.1
SL_EMP_EARN,CK,2019,9.87,9.87
PSD2GDP,MH,2014,52.7,52.7
PSD2GDP,MH,2015,52.2,52.2
PSD2GDP,MH,2016,44.7,44.7
PSD2GDP,MH,2017,40.2,40.2
SI_POV_DAY1,SB,2012,23,23
SL_EMP_EARN,WS,2012,4.34,4.34
SL_EMP_EARN,WS,2017,11.52,11.52
SL_EMP_EARN,WS,2022,5.84,5.84
SL_EMP_EARN,VU,2010,386.55,348.74922
SI_POV_DAY1,FM,2013,12,12
SL_TLF_UEM,FM,2013,59.7,59.7
SL_TLF_UEM,FM,2014,18.88,18.88
SL_TLF_NEET,TV,2015,42.7,42.7
SL_TLF_NEET,TV,2016,29.1,29.1
SL_TLF_NEET,WS,2013,21.4,21.4
EG_ACS_ELEC,FM,2014,76.1,76.1
EG_ACS_ELEC,FM,2017,92.9,92.9
EG_ACS_ELEC,FM,2018,94.1,94.1
EG_ACS_ELEC,FM,2019,95.4,95.4
EG_ACS_ELEC,FM,2020,96.7,96.7
EG_ACS_ELEC,TO,2016,96.6,96.6
EG_ACS_ELEC,TO,2017,97.9,97.9
EG_ACS_ELEC,TO,2018,98.9,98.9
EG_ACS_ELEC,TO,2020,100,100
SL_TLF_NEET,WS,2012,38.5,38.5
SL_TLF_NEET,WS,2013,37.6,37.6
SL_TLF_NEET,WS,2017,41.5,41.5
SL_TLF_UEM,WS,2013,4,4
SL_TLF_UEM,NR,2011,21,21
SL_TLF_UEM,WS,2013,0.9,0.9
SL_TLF_UEM,TO,2021,12.3,12.3
SL_TLF_UEM,VU,2019,10.4,10.4
SL_TLF_NEET,MH,2019,39.39,39.39
SL_TLF_NEET,MH,2021,38.08,38.08
SI_POV_NAHC,PW,2013,20.5,20.5
SI_POV_NAHC,KI,2019,19.9,19.9
SL_TLF_UEM,PW,2013,0,0
SI_POV_NAHC,PW,2013,14.7,14.7
SI_POV_NAHC,VU,2019,21.5,21.5
SI_POV_NAHC,VU,2019,23.9,23.9
SL_TLF_UEM,TV,2016,16.69,16.69
SL_TLF_UEM,TO,2021,1.1,1.1
SL_TLF_UEM,PW,2013,0,0
SI_POV_NAHC,VU,2019,1.7,1.7
SL_TLF_UEM,MH,2019,0,0
SL_EMP_EARN,CK,2019,9.6,9.6
SL_TLF_UEM,FJ,2005,2.5,2.5
SL_TLF_UEM,FJ,2011,2.81,2.81
SL_TLF_UEM,FJ,2014,3.24,3.24
SL_TLF_UEM,FJ,2016,2.15,2.15
SL_TLF_UEM,FJ,2017,4.3,4.3
SL_TLF_UEM,FJ,2005,3.89,3.89
SL_TLF_UEM,FJ,2011,4.41,4.41
SL_TLF_UEM,FJ,2016,4.32,4.32
NY_GDP_PCAP,TV,2000,12.8,12.8
NY_GDP_PCAP,TV,2001,1,1
NY_GDP_PCAP,TV,2002,7.3,7.3
NY_GDP_PCAP,TV,2003,-3.8,-3.8
NY_GDP_PCAP,TV,2004,-2.9,-2.9
NY_GDP_PCAP,TV,2005,-5.3,-5.1
NY_GDP_PCAP,TV,2006,1.7,1.7
NY_GDP_PCAP,TV,2007,5,5
NY_GDP_PCAP,TV,2008,5.7,5.7
NY_GDP_PCAP,TV,2009,-5.4,-5.1
NY_GDP_PCAP,TV,2010,-4.7,-4.7
NY_GDP_PCAP,TV,2011,5.8,5.8
NY_GDP_PCAP,TV,2012,-5.2,-5.1
NY_GDP_PCAP,TV,2013,5.4,5.4
NY_GDP_PCAP,TV,2014,2.4,2.4
NY_GDP_PCAP,TV,2015,10.6,10.6
NY_GDP_PCAP,TV,2016,7.3,7.3
NY_GDP_PCAP,TV,2017,4,4
NY_GDP_PCAP,TV,2018,2.5,2.5
NY_GDP_PCAP,TV,2019,15.6,15.6
NY_GDP_PCAP,TV,2020,-2.6,-2.6
NY_GDP_PCAP,TV,2021,3.3,3.3
NY_GDP_PCAP,TV,2022,2.3,2.3
NY_GDP_PCAP,TV,2023,5.7,5.7
ST_EEV_ACCSEEA,MH,2008,0,0
ST_EEV_ACCSEEA,MH,2009,0,0
